stimulus_id,Happy,Amusing,Beauty,Calm,Energizing,Angry,Triumphant,target
-BaTPbE0Gdo,5.5,3.8333333333333335,4.166666666666667,3.6666666666666665,3.0,1.1666666666666667,3.6666666666666665,fem
-KKsNKY4V8k,5.833333333333333,4.5,4.5,3.3333333333333335,3.8333333333333335,1.0,3.0,fem
-Mqc2csT3ZM,5.0,3.5,3.5,4.0,3.6666666666666665,1.0,3.3333333333333335,mix
-NEHGAMiA2I,5.0,2.1666666666666665,4.166666666666667,4.333333333333333,2.6666666666666665,1.0,2.8333333333333335,fem
-SEKfzdaIK0,5.4,4.8,2.2,2.0,6.2,1.0,3.4,masc
-a9Jmy2fs3I,5.5,3.1666666666666665,4.166666666666667,3.8333333333333335,3.8333333333333335,1.0,3.6666666666666665,mix
-o98tc5dDUI,4.833333333333333,4.166666666666667,3.3333333333333335,3.5,4.0,1.3333333333333333,3.0,mix
-vSutSWNgLU,5.0,2.8333333333333335,3.3333333333333335,2.3333333333333335,5.0,1.6666666666666667,3.3333333333333335,mix
02qnqWCCdaI,2.3333333333333335,1.6666666666666667,1.0,1.0,3.1666666666666665,2.8333333333333335,3.1666666666666665,masc
04YHrUko8yI,3.5,2.6666666666666665,2.6666666666666665,2.6666666666666665,4.333333333333333,1.8333333333333333,3.0,masc
04ww4xZ8pH4,4.5,2.6666666666666665,2.5,2.5,3.3333333333333335,1.3333333333333333,2.8333333333333335,mix
06_OXzp1jh0,5.5,4.333333333333333,2.3333333333333335,1.5,4.666666666666667,2.0,3.5,mix
0YThUgMIgac,3.5,3.0,2.5,2.3333333333333335,2.3333333333333335,1.3333333333333333,1.8333333333333333,mix
0nAk-a4j7dE,5.5,5.166666666666667,4.5,4.166666666666667,4.5,1.0,3.3333333333333335,mix
11tm3fB0E2g,5.833333333333333,5.666666666666667,3.0,2.3333333333333335,4.666666666666667,1.0,3.5,mix
14kqmlI3G80,4.333333333333333,2.6666666666666665,1.6666666666666667,1.1666666666666667,5.833333333333333,1.1666666666666667,3.8333333333333335,masc
1RLA2K18riE,6.333333333333333,3.5,5.5,3.8333333333333335,3.3333333333333335,1.0,2.3333333333333335,fem
1cBoo3E5b3Y,5.0,4.333333333333333,2.8333333333333335,1.3333333333333333,4.833333333333333,1.8333333333333333,2.5,mix
1eojD029X8E,4.666666666666667,2.6666666666666665,4.833333333333333,3.0,4.333333333333333,1.1666666666666667,2.5,fem
1onOMfFae74,6.666666666666667,2.8333333333333335,5.833333333333333,6.333333333333333,2.6666666666666665,1.0,3.5,fem
1svuTm2KSiw,3.8333333333333335,3.3333333333333335,2.1666666666666665,2.1666666666666665,4.0,1.1666666666666667,3.3333333333333335,masc
1y538s1N3To,5.166666666666667,5.0,3.6666666666666665,1.8333333333333333,4.833333333333333,1.1666666666666667,2.3333333333333335,mix
1yH1AS7GGZU,4.833333333333333,4.666666666666667,4.5,3.1666666666666665,3.8333333333333335,1.1666666666666667,2.0,fem
2-m3SEGs0kM,4.741721854304636,4.576158940397351,2.814569536423841,2.728476821192053,3.4834437086092715,1.596026490066225,2.423841059602649,mix
26hYGh4SYX4,3.6666666666666665,3.6666666666666665,2.6666666666666665,2.0,3.6666666666666665,4.833333333333333,3.1666666666666665,masc
26jBFBmrmr4,1.8333333333333333,1.3333333333333333,1.3333333333333333,1.1666666666666667,5.0,5.0,3.8333333333333335,masc
27vHKP9QsqU,4.5,3.1666666666666665,3.3333333333333335,4.333333333333333,2.5,1.1666666666666667,1.6666666666666667,fem
2J7ZM8U9bw0,5.333333333333333,5.0,3.8333333333333335,2.0,5.166666666666667,2.3333333333333335,3.3333333333333335,mix
2KH0C36fKkk,5.0,2.3333333333333335,3.5,2.8333333333333335,3.3333333333333335,1.1666666666666667,2.0,fem
2LZjLBipdfI,5.5,3.6666666666666665,6.0,3.0,4.0,1.1666666666666667,3.0,fem
2dgTRykXw1E,5.0,2.6666666666666665,1.3333333333333333,1.5,6.5,1.6666666666666667,4.166666666666667,masc
2g5RT58wvMQ,5.333333333333333,3.1666666666666665,3.0,2.3333333333333335,4.0,1.0,4.0,fem
33BwTrRpbR0,5.333333333333333,3.6666666666666665,3.0,2.0,4.0,1.5,2.8333333333333335,fem
39QOYRNmfjg,5.166666666666667,4.0,2.6666666666666665,1.8333333333333333,4.5,1.1666666666666667,2.5,mix
3IT9g-IHkcE,3.7142857142857144,3.5714285714285716,2.5714285714285716,2.142857142857143,4.428571428571429,1.0,2.857142857142857,mix
3cZMIJq5gis,5.0,4.166666666666667,2.1666666666666665,2.6666666666666665,4.333333333333333,1.5,3.0,mix
3vqm0DO40gU,3.3333333333333335,2.0,2.8333333333333335,1.5,5.833333333333333,2.3333333333333335,3.8333333333333335,masc
3ysC1-foJT4,4.833333333333333,3.1666666666666665,4.166666666666667,2.6666666666666665,4.333333333333333,1.0,3.0,fem
42wqjpxHMdA,6.166666666666667,3.8333333333333335,4.333333333333333,3.6666666666666665,4.666666666666667,1.0,3.6666666666666665,mix
48EkYd1GFhY,5.166666666666667,4.666666666666667,2.6666666666666665,2.5,5.333333333333333,1.3333333333333333,4.833333333333333,mix
4Hl1wINuquM,6.0,5.5,4.333333333333333,3.8333333333333335,4.5,1.6666666666666667,3.1666666666666665,mix
4bLSlZyZRXc,4.142857142857143,2.857142857142857,3.142857142857143,2.2857142857142856,5.285714285714286,2.0,3.2857142857142856,masc
4e-j6uyqKxI,5.833333333333333,4.666666666666667,4.5,1.5,3.6666666666666665,1.0,2.3333333333333335,fem
4fMS076F8pU,5.333333333333333,2.8333333333333335,5.0,2.5,3.1666666666666665,1.1666666666666667,2.1666666666666665,fem
4ih5OAZKZQA,5.166666666666667,4.5,2.6666666666666665,2.1666666666666665,4.333333333333333,2.1666666666666665,3.1666666666666665,mix
5P9kXntCLPw,6.0,3.6666666666666665,4.833333333333333,2.6666666666666665,6.0,1.1666666666666667,4.0,mix
5PEpjVowR90,5.5,3.6666666666666665,2.5,1.6666666666666667,5.166666666666667,2.3333333333333335,4.166666666666667,masc
