x,y,target,stimulus_id
7.650571,5.5585394,Mix,EXL8_DhTqNE
7.7031236,5.6070843,Mix,EXVVcmoPCbA
10.123166,3.921159,Fem,Eej5_xQMdF0
5.107684,5.1265826,Masc,EjxILHpT7I8
10.164569,2.981258,Mix,EsoVjRdPCoU
8.741459,2.9511542,Mix,Ex5ZhANd7z0
6.3732862,1.5068299,Fem,ExJpDpg2T_A
4.4594193,3.871322,Mix,Ey3HojynMqM
8.409391,5.064879,Mix,FLJARDSdGLM
9.425861,2.9067385,Fem,FYpPMELi0Co
1.8967494,5.403306,Masc,FhyVUb25Ilc
9.639796,0.62471247,Mix,FqGfNOYo0co
6.283124,5.042698,Mix,FsItakNM2wI
9.1903515,1.9595042,Fem,FvUgpHx9nKs
1.8425312,5.295163,Masc,GGlOzSB1R-w
10.707406,2.3528242,Fem,GNLdz_GH8fs
5.5352235,4.4380965,Mix,GUJ8PfvfQOU
9.649721,1.8849634,Fem,GXojZcA86Oo
9.825761,2.2364829,Fem,GvMmTsqExiw
9.405333,2.4500291,Fem,HCTfaQg1fzc
2.366436,5.294615,Masc,HO-GyyhtDnA
7.6655054,3.9803722,Mix,HWp1y2cHrgo
5.905566,3.35315,Masc,HjFgeL3bdeQ
4.809087,3.7382562,Masc,HkESWe-VmCw
9.104299,5.063796,Fem,Hkae1vy8HPA
5.729403,5.75753,Masc,HmN4c8UShsk
7.472163,4.2792263,Mix,IBDL15WTewc
3.607358,5.4341726,Masc,IUMGZBXMi0M
6.293865,4.311091,Mix,Ig3eyG9baPw
9.539488,2.131942,Fem,IgiFNotHmKg
6.620421,4.4903097,Mix,Ik1vebgUXxA
8.412347,4.8164396,Mix,InjI6hTzBNQ
9.6789875,1.8471893,Fem,J5HhmWTTGEM
9.104575,2.7521384,Mix,JBT_A2TyPCQ
3.4269044,5.149764,Masc,JGR4ryWa8u0
8.967868,5.5379515,Masc,JU2XXwkCav4
9.799106,2.2849996,Fem,JUaDM8hQBqw
5.8485827,4.7660174,Mix,JXF8t1yznCk
6.954645,1.4288301,Fem,Jj-N2q3MRIc
6.332131,4.7414074,Mix,Jq4T0dXB_60
1.851844,4.9628434,Masc,Jw4UaI4irBA
10.631958,2.4825597,Mix,K1T7llOr_VQ
1.9240012,5.452887,Masc,K2JvLAtwVcY
1.7356906,4.5651355,Masc,K8KoD8249XE
8.809511,4.549013,Mix,KD1XHjYhvVU
8.848279,5.6067724,Mix,KJSFkldABdY
4.578144,4.5800056,Masc,KUif1Bpvyfk
4.922808,4.196353,Masc,KfDNYin9fDA
5.1491017,6.123996,Mix,Kgdwd6Pqip4
8.393026,4.3784275,Fem,KpdJNeu2Y34
8.423935,1.5721842,Fem,KqXriV8Mi3Y
6.9944386,4.722671,Mix,KyAoy9PiJEk
10.690509,3.0881155,Mix,Kz2v4QYRsBw
8.477562,2.4091163,Mix,L90gLiPafb4
7.3899274,3.0763447,Mix,LEmyGcnBMms
8.477197,1.4218754,Fem,LHZKQoaZMpY
2.3650148,6.194534,Masc,LVmmGDCgDu8
8.609296,1.4944788,Fem,LW4UMSQNgpM
9.733349,3.345949,Mix,LYVEt97fWLM
9.28135,2.3395832,Fem,LZm_wAgLSFE
8.759404,5.2749724,Mix,L_k7TXQ2Tmw
4.868109,6.001766,Mix,Lb1VBf2Fykc
6.712401,4.801246,Mix,LgDsU1GONwI
4.1989937,5.4836597,Masc,LmmNeskIG-c
2.7079651,6.219149,Masc,Lnbrdx2iNZQ
2.946378,5.636561,Masc,LnsUJ5qlJi4
8.670668,3.0989792,Mix,Lo_x8RN_x2Y
5.505426,2.0464823,Masc,Lt5lr8mebNY
4.1463075,5.723209,Mix,M-ErishbROk
7.9347434,4.330829,Fem,M7FLctp7tMk
5.0992923,3.4832013,Mix,MUq2VCSi-bs
8.570632,5.571018,Mix,MbDAn99yLwA
