Happy,Amusing,Beauty,Calm,Energizing,Angry,Triumphant,prolific_id,stimulus_id
6,4,3,3,6,1,1,5a9adf93dbdb470001eee5e1,y6wJehV4tis
6,7,3,1,3,1,1,5ea986542bd79508d1d3cd7e,pdzliNhlqWI
7,6,6,6,5,1,4,601ecf037d641438c0840330,CfmWvEX_r7Y
4,2,2,2,5,1,4,623729c5c785c64be4d2f444,14kqmlI3G80
7,5,4,2,5,1,3,615822379d204660be9076d9,5o0l0bpeTaQ
5,2,6,5,2,1,5,5d5e8996eefb4600182fcbb1,wdLUxu_OJh4
4,2,4,1,3,1,1,5a52164aac5624000153602a,8D5akawtCjg
4,2,2,1,2,1,3,6048a3eff8e2cdda59e5c9e7,PowcVq11vCg
1,1,1,1,7,3,7,5e14c068ed1b3b000cf0e3c7,IdUirgutDgk
6,6,6,6,4,1,3,5ce52692b4a0b500016a9112,84Q-XLh3fAY
5,3,5,6,5,1,5,593b5b0e6c168c000177899a,hFcYHGRWPCY
5,5,1,1,6,5,5,5ec967ac9020ae477aee23af,lxHh_AJ0-jE
1,3,1,1,2,2,1,6048a3eff8e2cdda59e5c9e7,GHLDC7lorFk
6,3,5,6,4,1,5,5f296dc899c65605ad881760,E8GschBoKMA
7,7,7,5,5,1,1,5d6a55cb78fce300014e078e,M7FLctp7tMk
6,6,5,5,2,1,1,61bb378040db417c1a138a7c,pBxyBLjr7sM
2,1,2,2,2,1,1,593b5b0e6c168c000177899a,oS3DzyBVp1s
6,6,3,6,4,1,1,61bb378040db417c1a138a7c,kFkIC-XjFp0
7,7,6,5,5,1,1,5d6a55cb78fce300014e078e,kFkIC-XjFp0
3,5,3,2,3,2,3,615822379d204660be9076d9,2J7ZM8U9bw0
1,6,1,1,3,5,1,6074130be61cc52f7acdd375,nbUOQ6gAudo
3,1,4,3,3,1,2,593b5b0e6c168c000177899a,VIqv8YRVDuY
1,1,1,1,1,1,1,5fde8fc3c0e40a651914c261,cP642WWyWO8
7,4,7,7,6,1,1,5d6a55cb78fce300014e078e,ERWmerxv2N0
5,6,1,2,3,1,1,6074130be61cc52f7acdd375,mO1kljD_Aa4
6,5,5,4,6,1,4,5e7886313dacaa3fbb808a67,CcVTEKOG13o
2,1,1,1,3,5,2,5f3d63427c561a0f0d0cb09c,s6YcdEEF2H4
5,3,5,5,2,2,2,61bb378040db417c1a138a7c,8x2cXDumjKU
3,3,2,2,6,1,5,5e1ccec8551fa0000cdc1f0b,3vqm0DO40gU
3,1,3,3,3,1,2,593b5b0e6c168c000177899a,cYszuGaptkk
5,4,2,1,4,1,2,5fde8fc3c0e40a651914c261,e7urnfBBh3M
5,2,1,1,3,1,2,5e63adfb9ab3e612a6913e14,mMR_LTavLq4
5,4,3,2,3,1,3,615822379d204660be9076d9,B4FsikjiUHA
2,2,1,1,1,6,1,6074130be61cc52f7acdd375,VIqv8YRVDuY
7,7,1,1,7,1,1,5d6a55cb78fce300014e078e,CN9qybFVIr8
1,1,1,1,1,1,1,5fde8fc3c0e40a651914c261,LEmyGcnBMms
6,4,5,5,6,1,6,5e7886313dacaa3fbb808a67,e18J2Z18Na4
4,3,3,5,3,1,1,593b5b0e6c168c000177899a,pdzliNhlqWI
5,3,5,5,3,1,5,61bb378040db417c1a138a7c,8Mm00joqGFs
3,3,2,3,4,1,2,5f3d63427c561a0f0d0cb09c,s7Bws_0BJxs
6,4,7,3,3,1,3,5e1ccec8551fa0000cdc1f0b,AB8ud4ogIvo
2,2,1,1,4,2,1,6074130be61cc52f7acdd375,cYszuGaptkk
6,1,4,1,2,1,2,5e63adfb9ab3e612a6913e14,hxpeslOcIIA
7,6,7,4,7,7,7,5d6a55cb78fce300014e078e,lHCfrK-nIQU
2,1,2,2,4,5,2,593b5b0e6c168c000177899a,Zl-50U1tsBM
5,6,6,4,5,1,6,5e7886313dacaa3fbb808a67,nAX5Ib3h0bU
3,5,2,2,5,1,3,5e1ccec8551fa0000cdc1f0b,AsBTxUxT8-I
6,5,3,2,5,2,5,61bb378040db417c1a138a7c,IUMGZBXMi0M
4,2,2,1,1,2,1,6074130be61cc52f7acdd375,pdzliNhlqWI
7,6,1,6,7,7,1,5d6a55cb78fce300014e078e,lKvRSLtbfrI
6,1,3,3,1,1,2,5e63adfb9ab3e612a6913e14,WiZbb-QOStc
3,1,1,1,3,4,1,5e8f8ebc09b58f28c329da6f,9IDLZyqx-60
5,5,4,4,5,1,4,615822379d204660be9076d9,Tubf9a3Asxw
4,2,4,4,5,1,4,5810a2fa7d3e6d0001df294c,79j4Qnyb7dg
4,2,5,7,2,1,4,5f3d63427c561a0f0d0cb09c,Rk2yWHQjYJI
5,5,3,3,3,1,3,5e1ccec8551fa0000cdc1f0b,qymG5taSseY
6,7,6,6,6,1,6,5f0c40741fa6930438c1f19c,-o98tc5dDUI
1,1,1,1,4,1,1,5fcf61cae339e601668c71aa,HO-GyyhtDnA
4,3,1,1,3,2,3,5fb93f3349adcb75d64045d1,hNEvIimRhe8
5,5,5,3,3,1,2,611b69c8306de2b76ce73318,cYszuGaptkk
5,4,2,2,6,2,5,55d51a6b8ce09000127d4821,D9qcmuxI4EI
7,2,2,2,4,1,5,5e27fdd75ade0ba21df12828,-a9Jmy2fs3I
7,5,2,1,4,1,4,5a23e0f8391e270001a10195,2-m3SEGs0kM
7,7,7,6,7,1,7,5f0c40741fa6930438c1f19c,bKK1XQg2Y9o
4,3,4,2,2,1,3,5d48673efef71c0016d8bf40,XcdNtsFiLi4
4,3,3,3,5,2,4,5c37ac66bc6444000133b38e,s-Q4sffZjo8
5,2,4,3,3,1,2,59f0eda5e75b450001a699a7,izuCJwPgG-Q
6,5,4,4,6,1,5,59d3958ed552520001fe6dfc,_H9hUA0Ck8c
4,3,4,4,3,1,3,5c37ac66bc6444000133b38e,Y_TqObDvE24
4,3,3,3,4,2,3,5c37ac66bc6444000133b38e,lXEc9Oueszg
4,4,2,3,5,3,4,5fc45894c518494211619c7e,jltRPLHjR0o
5,5,4,2,6,2,5,59d3958ed552520001fe6dfc,P2IVTQfNTmo
4,3,4,4,3,1,3,5c37ac66bc6444000133b38e,84Q-XLh3fAY
6,4,3,3,4,1,4,5e77f6934ffe99364534227a,awK4jz6RWkU
2,3,1,3,1,1,2,5c0b888b7bbde100010a8fd9,N-nPqprf5Yo
3,1,3,1,5,2,1,5c60501d767686000100150c,c62P3ERJ3_s
5,3,4,4,3,1,3,59f0eda5e75b450001a699a7,Ex5ZhANd7z0
5,3,3,3,3,1,3,5e77f6934ffe99364534227a,ENjv1qKNS4A
4,3,2,2,5,3,4,5d4b36bf137506001bb6b366,wWt38u3ikbQ
5,4,3,1,6,2,4,59f0eda5e75b450001a699a7,Drg9AMJCWRk
3,1,1,1,5,4,2,5c0b888b7bbde100010a8fd9,DX5qdgEvdlc
5,5,4,3,5,1,5,5fc45894c518494211619c7e,JU2XXwkCav4
4,4,3,3,5,2,3,5c37ac66bc6444000133b38e,jJc3CUlCiOo
7,6,1,1,6,1,3,5e27fdd75ade0ba21df12828,SlYasXQ36eE
5,5,5,4,5,2,2,61572aeab6ac8a5fe94b43b4,WZr7t3DXYsA
7,7,6,6,6,1,7,5f0c40741fa6930438c1f19c,RuAaIaNv48k
4,4,2,1,5,1,3,59f0eda5e75b450001a699a7,mPCh3D21qZE
4,3,4,3,3,1,3,5c37ac66bc6444000133b38e,LW4UMSQNgpM
6,4,6,6,3,1,4,622a03d0bf48c972d851915a,QPABdbp7RFw
4,3,3,2,5,2,5,6077dd4c0a8ff92267e84b6e,DX5qdgEvdlc
5,3,2,2,2,1,1,5e77f6934ffe99364534227a,GXojZcA86Oo
7,3,3,1,6,1,5,5a23e0f8391e270001a10195,cYszuGaptkk
6,3,5,5,5,1,6,59d3958ed552520001fe6dfc,DqU8fARtNFA
5,3,2,2,4,1,2,5d4b36bf137506001bb6b366,Y2zE_9YFstU
5,3,2,3,5,1,4,55d51a6b8ce09000127d4821,Y2zE_9YFstU
3,2,2,1,2,1,2,5d48673efef71c0016d8bf40,5fxq9sCyMqM
3,1,2,1,3,1,1,5c0b888b7bbde100010a8fd9,ExJpDpg2T_A
5,4,3,3,5,2,5,5fc45894c518494211619c7e,m_ILlDydHwk
1,1,1,1,1,1,2,5e27fdd75ade0ba21df12828,bBSU7U9f98w
4,3,4,2,4,1,3,5c37ac66bc6444000133b38e,9-RTErCdQCY
5,2,1,1,6,1,4,59f0eda5e75b450001a699a7,mKBujFF2txY
5,3,3,3,4,1,1,5a9adf93dbdb470001eee5e1,WnkUUi5AwQo
2,2,2,2,6,5,6,55d51a6b8ce09000127d4821,YGxld6FysWU
5,4,5,4,4,1,3,5fb3814f2ed467ac73fe19fd,z3Rub01-9J0
6,4,4,1,5,1,4,5a23e0f8391e270001a10195,pdzliNhlqWI
5,5,5,5,5,2,4,5f0c40741fa6930438c1f19c,FILn56RNEyg
4,5,3,3,6,2,5,5fc45894c518494211619c7e,u0DskPo_-dQ
5,5,5,5,5,1,1,61572aeab6ac8a5fe94b43b4,mae-_KQhQ60
4,4,3,3,3,2,3,5c37ac66bc6444000133b38e,cYszuGaptkk
5,4,4,5,3,1,3,5e77f6934ffe99364534227a,9cy0NymlDV0
6,5,6,6,4,1,3,622a03d0bf48c972d851915a,ERWmerxv2N0
3,2,1,3,1,1,1,5c0b888b7bbde100010a8fd9,Nej7R1969c0
6,4,4,4,5,1,5,59d3958ed552520001fe6dfc,LYVEt97fWLM
4,1,1,1,6,1,5,5e27fdd75ade0ba21df12828,DOO0-chRLHY
5,4,5,1,6,1,6,5d48673efef71c0016d8bf40,dmqgI4JCEuE
5,2,4,2,4,1,3,59f0eda5e75b450001a699a7,mo3JXjRkl54
5,4,5,4,3,1,3,5c37ac66bc6444000133b38e,pdzliNhlqWI
3,1,3,1,6,1,2,5c60501d767686000100150c,mPCh3D21qZE
4,5,2,2,6,1,4,55d51a6b8ce09000127d4821,CcVTEKOG13o
4,5,2,2,6,1,4,55d51a6b8ce09000127d4821,x75PlcuAiNc
5,5,3,3,5,2,5,5fc45894c518494211619c7e,6Pv0_aeYoCE
7,7,7,7,7,1,7,5f0c40741fa6930438c1f19c,tKelI4U_y6Q
7,7,5,5,3,2,2,5ea20fd571038c119083a8df,4Hl1wINuquM
5,4,4,5,4,1,4,5747ac9d5bef980010b0414b,h0TPYyam0-c
7,5,6,1,6,1,6,5dcc6f91e5e18690a20e74d1,EjxILHpT7I8
5,3,3,3,2,1,2,5e77f6934ffe99364534227a,z8xZjjBKZI8
5,4,4,4,3,1,4,5c37ac66bc6444000133b38e,VIqv8YRVDuY
2,1,1,1,5,2,1,5c0b888b7bbde100010a8fd9,dmqgI4JCEuE
6,2,6,6,2,1,1,61572aeab6ac8a5fe94b43b4,7bB2elKsUFE
3,4,4,2,5,1,3,622a03d0bf48c972d851915a,x75PlcuAiNc
5,2,4,3,6,4,6,5fb3814f2ed467ac73fe19fd,ocMZASGjbhg
1,1,1,1,7,2,1,5e27fdd75ade0ba21df12828,WXom9NTISb8
3,3,3,3,5,3,3,5c37ac66bc6444000133b38e,HO-GyyhtDnA
5,5,3,3,4,1,4,59f0eda5e75b450001a699a7,HkESWe-VmCw
7,3,5,5,5,1,5,59d3958ed552520001fe6dfc,NLBZzszOhx0
5,3,3,3,5,3,2,61572aeab6ac8a5fe94b43b4,tRJRP6qUWiA
4,3,3,2,3,2,3,5c37ac66bc6444000133b38e,Zl-50U1tsBM
2,1,1,1,5,4,1,5c0b888b7bbde100010a8fd9,SLSo8iqFsFE
7,2,3,1,7,1,3,5c60501d767686000100150c,3IT9g-IHkcE
3,1,1,1,7,1,2,5e27fdd75ade0ba21df12828,lo68aakVEpc
4,2,2,3,2,1,2,5e77f6934ffe99364534227a,IgiFNotHmKg
6,4,5,3,3,1,1,5dcc6f91e5e18690a20e74d1,a0L1IzEMQ_c
7,7,7,7,7,1,6,5f0c40741fa6930438c1f19c,YOaA1JMpq-0
2,2,2,2,5,5,5,622a03d0bf48c972d851915a,aLk1Xh0z7qw
5,5,3,2,5,4,4,6077dd4c0a8ff92267e84b6e,26hYGh4SYX4
5,5,3,2,5,4,4,6077dd4c0a8ff92267e84b6e,vnkTkVvn4Yc
3,1,4,2,3,1,1,5c0b888b7bbde100010a8fd9,pdzliNhlqWI
3,4,3,2,5,1,2,59d3958ed552520001fe6dfc,7V_e5xlmSqM
5,5,3,3,4,1,3,5fc45894c518494211619c7e,DE15rbeNgLI
5,5,5,4,4,2,4,5f0c40741fa6930438c1f19c,7V_e5xlmSqM
6,2,4,2,6,1,5,5dcc6f91e5e18690a20e74d1,SFDQWY3IQ6A
7,6,3,1,4,1,2,5c60501d767686000100150c,ffMiaRJmVio
5,4,4,3,5,4,4,61572aeab6ac8a5fe94b43b4,cYszuGaptkk
4,3,3,2,2,6,1,5f0c40741fa6930438c1f19c,lBdS8UiKTGk
6,5,3,1,5,1,1,5c60501d767686000100150c,iQF1XSOxHcs
5,2,2,3,2,1,2,5e77f6934ffe99364534227a,JUaDM8hQBqw
7,6,6,1,6,1,3,5da9a1659413e4001505d7f7,Hkae1vy8HPA
5,1,6,2,6,1,6,5dec460a8d43d9346487f840,Zl-50U1tsBM
5,4,5,5,4,2,2,5f3960e728b3734d421b2eeb,9h4cr4C1rhc
1,6,1,1,7,5,6,55e876f25e4d360012cc283d,9IDLZyqx-60
5,4,6,4,4,1,2,5d5db7f7ca179000180b17cc,pdzliNhlqWI
5,3,4,2,1,1,2,5da9a1659413e4001505d7f7,DqQZSbSfQ6g
1,1,1,1,7,4,6,5b7f28ee4570a7000120ad3f,26jBFBmrmr4
4,3,2,2,3,1,3,5b95a66ba2980c0001c481a6,QWQAG8Zs_no
6,7,5,3,2,1,2,5da9a1659413e4001505d7f7,n2SA7dZQWyU
7,6,2,1,5,4,5,609c010662a75f7f78ad58f0,MbDAn99yLwA
5,4,1,2,4,1,1,55e876f25e4d360012cc283d,B4FsikjiUHA
6,5,5,4,4,1,2,5d5db7f7ca179000180b17cc,cYszuGaptkk
4,2,3,2,5,5,2,5f3960e728b3734d421b2eeb,hsKRQfwRRSI
6,5,6,4,6,1,2,5d5db7f7ca179000180b17cc,Zl-50U1tsBM
1,1,1,1,4,6,3,55e876f25e4d360012cc283d,RxYisyVBAdI
5,3,5,5,3,2,2,5f3960e728b3734d421b2eeb,VIqv8YRVDuY
4,6,2,1,7,6,2,609c010662a75f7f78ad58f0,ZoRBJa773Rk
5,6,4,3,2,1,3,5da9a1659413e4001505d7f7,0nAk-a4j7dE
1,4,1,1,7,5,6,55e876f25e4d360012cc283d,HO-GyyhtDnA
4,5,5,2,1,1,1,5f22de3904d2a80008ca108a,VIqv8YRVDuY
7,7,5,3,2,1,1,5b7f28ee4570a7000120ad3f,2-m3SEGs0kM
3,2,3,3,1,1,4,5aae8f78811b2000016f7c7b,VIqv8YRVDuY
7,6,6,7,2,1,1,609c010662a75f7f78ad58f0,8x2cXDumjKU
5,3,2,1,6,1,3,5b95a66ba2980c0001c481a6,qMYgXfbpM3E
2,4,1,1,7,7,6,609c010662a75f7f78ad58f0,WYtavoRz-Jc
7,6,5,5,2,1,1,5da9a1659413e4001505d7f7,VIqv8YRVDuY
5,3,3,6,2,2,4,5b95a66ba2980c0001c481a6,vFlpklOfoaI
6,6,4,3,3,1,3,5da9a1659413e4001505d7f7,cYszuGaptkk
6,6,2,1,6,5,1,609c010662a75f7f78ad58f0,2-m3SEGs0kM
4,5,2,2,3,2,1,5b95a66ba2980c0001c481a6,2-m3SEGs0kM
6,3,6,4,3,1,2,5b95a66ba2980c0001c481a6,VIqv8YRVDuY
2,1,2,2,3,5,2,603900436aac0934a527e745,nP-zU9Bn560
6,4,5,3,4,1,5,603900436aac0934a527e745,fg8ZTdpuV0I
3,1,1,1,2,1,1,6048a3eff8e2cdda59e5c9e7,_7-8YYf0dMA
4,2,2,2,5,1,5,623729c5c785c64be4d2f444,TFHBEkqysRU
2,3,1,1,5,4,3,5ea986542bd79508d1d3cd7e,Zl-50U1tsBM
2,3,1,1,3,2,3,5fb93f3349adcb75d64045d1,EPIML-8H-xY
4,5,2,2,5,1,2,5f296dc899c65605ad881760,bKK1XQg2Y9o
2,3,4,3,1,1,1,6074130be61cc52f7acdd375,kFkIC-XjFp0
5,4,4,3,4,1,3,5e1ccec8551fa0000cdc1f0b,kFkIC-XjFp0
6,6,6,7,5,1,4,5e7886313dacaa3fbb808a67,kFkIC-XjFp0
4,5,3,2,4,1,3,615822379d204660be9076d9,3IT9g-IHkcE
2,1,1,1,2,4,1,593b5b0e6c168c000177899a,Z00vBKSQrgU
4,4,5,4,5,1,5,5e7886313dacaa3fbb808a67,zqvBh_9EQSc
4,1,1,2,2,1,1,5e63adfb9ab3e612a6913e14,oBedP34gnXw
2,4,2,2,4,2,2,61bb378040db417c1a138a7c,fM1ARuVwYT4
4,2,1,2,6,1,4,5f296dc899c65605ad881760,cYszuGaptkk
4,3,3,3,2,1,3,5fde8fc3c0e40a651914c261,b9mftIxpif0
2,1,2,1,1,1,1,615822379d204660be9076d9,yJ0v0wuokZE
3,2,4,2,2,1,2,5fde8fc3c0e40a651914c261,tTmh2c2AtXw
4,4,3,3,5,2,4,5fc45894c518494211619c7e,EPIML-8H-xY
4,1,3,1,4,1,1,5c0b888b7bbde100010a8fd9,_XU5qHsC4Aw
5,5,4,5,5,1,6,5747ac9d5bef980010b0414b,HkESWe-VmCw
3,2,1,1,2,1,1,5e77f6934ffe99364534227a,SLSo8iqFsFE
5,5,3,3,6,2,5,5fc45894c518494211619c7e,XQ6Cm2sXveU
3,3,4,2,6,2,6,622a03d0bf48c972d851915a,Se_WPWR0ZMU
5,5,5,2,7,4,5,59d3958ed552520001fe6dfc,AYI3Gau3mWo
4,3,3,1,1,1,2,5d48673efef71c0016d8bf40,IgiFNotHmKg
5,4,4,3,5,4,4,61572aeab6ac8a5fe94b43b4,KJSFkldABdY
6,4,2,1,6,1,4,59f0eda5e75b450001a699a7,kb4Ga1tD3nk
5,4,4,4,4,1,2,5fc45894c518494211619c7e,j_4_Bw7FbR4
6,4,6,5,4,1,4,59d3958ed552520001fe6dfc,oXkPfK4qEHQ
2,5,3,4,2,1,2,5747ac9d5bef980010b0414b,SFDQWY3IQ6A
3,2,2,1,3,1,2,5d48673efef71c0016d8bf40,K8KoD8249XE
4,5,4,2,6,4,4,61572aeab6ac8a5fe94b43b4,laOxJUcIOdE
5,4,5,3,5,1,3,5fc45894c518494211619c7e,ygXt9OPfzEE
1,1,1,1,6,7,5,5ea20fd571038c119083a8df,U84RMyBtFak
5,3,2,2,6,1,5,55d51a6b8ce09000127d4821,cYszuGaptkk
5,1,5,5,2,1,1,5e27fdd75ade0ba21df12828,BS9a4CFppMo
4,3,3,3,3,3,1,61572aeab6ac8a5fe94b43b4,htMLdB-qYr0
4,5,1,1,6,7,4,5ea20fd571038c119083a8df,tqvV2uFPCfs
5,2,3,2,4,1,3,59d3958ed552520001fe6dfc,i2-2px8n-64
7,4,6,4,2,1,2,5dcc6f91e5e18690a20e74d1,VIqv8YRVDuY
6,5,5,4,4,1,2,5d5db7f7ca179000180b17cc,L90gLiPafb4
6,7,5,5,4,2,4,5dec460a8d43d9346487f840,2-m3SEGs0kM
3,5,3,1,6,2,4,5b7f28ee4570a7000120ad3f,mZNuwuGdeoo
5,4,4,4,5,1,2,5d5db7f7ca179000180b17cc,VIqv8YRVDuY
4,1,1,6,1,1,2,5fcf61cae339e601668c71aa,VIqv8YRVDuY
5,5,4,1,3,1,1,5f22de3904d2a80008ca108a,QPABdbp7RFw
7,6,4,1,7,1,1,5b7f28ee4570a7000120ad3f,yxkQMmtVeG8
1,1,1,1,6,2,2,5fcf61cae339e601668c71aa,Zl-50U1tsBM
7,4,5,4,5,1,2,609c010662a75f7f78ad58f0,qqV8wfRzDrA
5,3,3,1,4,1,1,5b95a66ba2980c0001c481a6,a1F2Vm6lVNU
6,5,4,1,4,1,1,5b7f28ee4570a7000120ad3f,lXEc9Oueszg
4,2,4,2,4,1,4,5b95a66ba2980c0001c481a6,ixaVqD1Yzls
5,3,4,3,4,3,2,5f3960e728b3734d421b2eeb,9-RTErCdQCY
6,5,5,4,1,1,2,5da9a1659413e4001505d7f7,f6C_P7xu2fc
7,7,5,1,6,3,1,609c010662a75f7f78ad58f0,WZr7t3DXYsA
7,7,5,1,6,1,5,5b7f28ee4570a7000120ad3f,SlYasXQ36eE
2,4,3,1,6,2,1,5f22de3904d2a80008ca108a,Zl-50U1tsBM
5,6,3,4,5,1,2,55e876f25e4d360012cc283d,pdzliNhlqWI
6,5,3,1,5,1,5,5b7f28ee4570a7000120ad3f,06_OXzp1jh0
4,3,3,3,5,2,2,5f3960e728b3734d421b2eeb,cYszuGaptkk
3,2,3,1,3,1,2,5b95a66ba2980c0001c481a6,n1YdT9RHvwU
7,6,5,2,4,1,4,5da9a1659413e4001505d7f7,q1S6UjO6rgQ
7,7,7,5,4,1,1,609c010662a75f7f78ad58f0,GvMmTsqExiw
6,5,4,3,3,1,3,5da9a1659413e4001505d7f7,KJSFkldABdY
2,3,1,2,2,1,1,5f22de3904d2a80008ca108a,cYszuGaptkk
5,4,3,3,2,2,2,5f3960e728b3734d421b2eeb,2-m3SEGs0kM
6,5,4,3,7,4,6,609c010662a75f7f78ad58f0,ijHYsEGGRRY
6,5,5,1,5,2,5,5b7f28ee4570a7000120ad3f,HO-GyyhtDnA
5,6,4,3,3,1,1,5da9a1659413e4001505d7f7,pdzliNhlqWI
5,5,1,1,7,4,5,609c010662a75f7f78ad58f0,oBedP34gnXw
1,2,2,1,6,7,5,5da9a1659413e4001505d7f7,HO-GyyhtDnA
7,4,6,5,6,4,6,609c010662a75f7f78ad58f0,95mk--0FTEw
7,6,6,5,5,1,4,609c010662a75f7f78ad58f0,VIqv8YRVDuY
5,1,2,2,5,1,2,5d5e8996eefb4600182fcbb1,mo3JXjRkl54
5,5,2,1,5,1,1,5a52164aac5624000153602a,e7urnfBBh3M
5,5,3,3,6,2,3,6074130be61cc52f7acdd375,e2KvH1ZAX84
5,1,5,2,5,1,1,5d5e8996eefb4600182fcbb1,1eojD029X8E
4,2,6,3,2,1,1,5ce52692b4a0b500016a9112,ta_v_mzbMTg
6,5,5,2,6,3,6,5c9034a2eedbd9001573ca14,xNGvheoGSrE
5,5,3,2,5,4,6,61bb378040db417c1a138a7c,dNeLMKNiAN8
4,6,1,1,6,3,4,5ec967ac9020ae477aee23af,6cYp20jojU0
1,1,1,1,7,6,7,5e14c068ed1b3b000cf0e3c7,kb4Ga1tD3nk
6,2,4,5,2,1,1,5a9adf93dbdb470001eee5e1,EsoVjRdPCoU
3,3,3,1,3,1,3,5fb93f3349adcb75d64045d1,ta_v_mzbMTg
4,4,3,2,4,1,1,5a9adf93dbdb470001eee5e1,vfWn-Kp9-yA
2,1,1,1,3,1,1,6048a3eff8e2cdda59e5c9e7,Zl-50U1tsBM
4,3,3,2,4,1,4,623729c5c785c64be4d2f444,pdzliNhlqWI
6,6,2,2,6,3,3,6074130be61cc52f7acdd375,c3vselA9ELQ
2,2,1,2,1,1,1,6048a3eff8e2cdda59e5c9e7,pdzliNhlqWI
5,3,1,1,4,1,1,5a9adf93dbdb470001eee5e1,bbbGSR6NAo8
2,1,2,1,4,3,1,603900436aac0934a527e745,Zl-50U1tsBM
5,5,5,3,3,1,1,615822379d204660be9076d9,S2JB2aZDdgg
5,2,6,6,2,1,4,55d51a6b8ce09000127d4821,Kz2v4QYRsBw
7,3,3,1,7,1,1,5c60501d767686000100150c,9lIP11Pbu10
5,4,4,4,4,2,4,5f0c40741fa6930438c1f19c,AoEBDS1OdQk
4,4,3,3,3,2,2,5c37ac66bc6444000133b38e,2-m3SEGs0kM
4,3,3,2,4,3,3,6077dd4c0a8ff92267e84b6e,W8z5glKz39Y
6,4,6,2,3,1,2,5dcc6f91e5e18690a20e74d1,n1YdT9RHvwU
6,6,6,3,6,1,4,5f0c40741fa6930438c1f19c,IUMGZBXMi0M
6,5,6,6,6,1,6,5747ac9d5bef980010b0414b,RIotfIo1Blc
7,7,6,6,4,1,3,5ea20fd571038c119083a8df,s7Bws_0BJxs
6,6,2,4,4,1,3,55d51a6b8ce09000127d4821,2-m3SEGs0kM
2,2,1,1,5,1,3,5c0b888b7bbde100010a8fd9,lo68aakVEpc
6,3,5,5,3,1,2,55d51a6b8ce09000127d4821,VIqv8YRVDuY
5,1,5,3,2,1,3,59f0eda5e75b450001a699a7,l0DF8slvlls
2,2,1,1,2,3,3,5e77f6934ffe99364534227a,02qnqWCCdaI
3,2,2,3,2,1,2,5d48673efef71c0016d8bf40,b9mftIxpif0
4,1,1,3,1,1,1,5c0b888b7bbde100010a8fd9,2-m3SEGs0kM
3,1,1,1,2,1,1,5e27fdd75ade0ba21df12828,ZaWRrNOseg4
5,4,4,2,5,2,4,5747ac9d5bef980010b0414b,5cthvmrEpJ4
4,4,3,3,5,2,3,5fc45894c518494211619c7e,cYszuGaptkk
2,2,2,2,3,1,2,5b95a66ba2980c0001c481a6,PVsSoRwd0Qo
2,1,1,1,6,3,4,55e876f25e4d360012cc283d,p9TNF9Bv4aw
4,2,5,2,4,1,2,5dec460a8d43d9346487f840,cYszuGaptkk
6,6,2,1,7,5,3,609c010662a75f7f78ad58f0,76xq8R9cEOI
6,3,5,4,4,2,2,5f3960e728b3734d421b2eeb,jYnVugDxErs
6,4,3,4,4,1,5,55e876f25e4d360012cc283d,yVNl_oSo7bI
4,5,2,2,3,1,2,5b95a66ba2980c0001c481a6,swnTr8-F3ic
3,2,5,5,2,1,2,5dec460a8d43d9346487f840,VIqv8YRVDuY
1,1,1,1,3,2,2,55e876f25e4d360012cc283d,GGlOzSB1R-w
2,4,2,1,3,2,1,5f22de3904d2a80008ca108a,2-m3SEGs0kM
5,6,2,1,7,2,1,55e876f25e4d360012cc283d,vB9IIv6xHBI
5,5,2,1,6,1,4,609c010662a75f7f78ad58f0,kxhDnxDm0RM
6,2,3,2,5,1,3,5b95a66ba2980c0001c481a6,ptE7EHKWG50
4,4,3,2,5,5,2,5f3960e728b3734d421b2eeb,Zl-50U1tsBM
2,4,1,1,7,6,7,55e876f25e4d360012cc283d,Zl-50U1tsBM
3,2,1,1,7,6,4,5da9a1659413e4001505d7f7,W8z5glKz39Y
6,4,3,5,5,1,6,55e876f25e4d360012cc283d,VIqv8YRVDuY
3,4,5,2,4,1,3,5b95a66ba2980c0001c481a6,3ysC1-foJT4
4,2,2,1,5,6,2,5f3960e728b3734d421b2eeb,HO-GyyhtDnA
3,2,2,1,5,2,7,5b95a66ba2980c0001c481a6,K2JvLAtwVcY
7,5,4,2,6,1,4,5da9a1659413e4001505d7f7,sP6RnFMqDnI
5,3,2,2,2,2,2,5f3960e728b3734d421b2eeb,pdzliNhlqWI
2,2,3,1,7,5,5,5da9a1659413e4001505d7f7,dp-qHTDVsLc
5,6,2,1,6,1,2,5b95a66ba2980c0001c481a6,5cU-BzR-fek
2,2,1,2,4,1,3,5b95a66ba2980c0001c481a6,Sk5kM8XiXkk
7,5,7,1,4,1,1,5b7f28ee4570a7000120ad3f,VIqv8YRVDuY
5,2,4,6,4,1,1,5b95a66ba2980c0001c481a6,BS9a4CFppMo
6,6,4,2,2,1,3,609c010662a75f7f78ad58f0,ttsmGXduEb0
6,7,4,5,3,1,2,5da9a1659413e4001505d7f7,2-m3SEGs0kM
6,6,5,5,3,1,4,609c010662a75f7f78ad58f0,bfDv-c9E_Is
6,6,7,5,6,1,2,609c010662a75f7f78ad58f0,1yH1AS7GGZU
7,7,7,4,6,2,3,609c010662a75f7f78ad58f0,zmd44gV9raw
4,2,1,1,5,4,2,609c010662a75f7f78ad58f0,Zl-50U1tsBM
6,6,5,1,2,1,1,609c010662a75f7f78ad58f0,pdzliNhlqWI
