Happy,Amusing,Beauty,Calm,Energizing,Angry,Triumphant,prolific_id,stimulus_id
3,2,5,4,1,1,1,5e130b3f54e2f09436f73393,pdzliNhlqWI
7,4,3,2,2,1,1,5c9c7cc072bf7f0017b6b798,vB9IIv6xHBI
7,7,4,1,5,1,4,5f383c7bbd56880ee4aff419,InjI6hTzBNQ
6,4,6,6,2,1,1,597e220e30b1d90001f5f14a,zNLbDvnYln0
2,1,2,1,7,6,7,611d2cc49af322d296ac4117,iwMf1aU3h2Q
7,7,2,1,3,1,1,5c9c7cc072bf7f0017b6b798,Jq4T0dXB_60
6,4,5,1,2,1,1,5f22de3904d2a80008ca108a,SeLZVNxsX2w
4,1,1,1,6,7,5,5c5432c098016d0001541ef7,nNjnT7tHIwA
6,4,5,3,4,1,2,597e220e30b1d90001f5f14a,2KH0C36fKkk
6,4,4,2,1,1,1,5c9c7cc072bf7f0017b6b798,Nvc5N3L3yjA
6,2,7,4,5,1,3,614c5d3911d2a431c2c59857,my2MceeTLxc
6,6,3,3,2,1,1,5c9c7cc072bf7f0017b6b798,5RVqzWqVpME
4,2,4,2,7,5,7,611d2cc49af322d296ac4117,LmmNeskIG-c
6,4,3,2,6,1,3,5a23e0f8391e270001a10195,JBT_A2TyPCQ
7,3,2,1,6,4,5,597e220e30b1d90001f5f14a,Zl-50U1tsBM
7,4,4,1,5,1,3,5a23e0f8391e270001a10195,aUOl_DWdEu8
6,5,4,3,3,1,2,597e220e30b1d90001f5f14a,pdzliNhlqWI
3,1,1,1,4,3,2,5cb87813635b940017c2037a,pg0HQGyFdDc
4,4,2,1,5,3,3,5c9c7cc072bf7f0017b6b798,Zl-50U1tsBM
7,6,5,2,6,1,4,5cb87813635b940017c2037a,e7urnfBBh3M
5,5,5,2,4,3,4,602bebe42e34a23d1d0f72a3,ta_v_mzbMTg
6,4,5,3,4,1,2,5d4b36bf137506001bb6b366,my2MceeTLxc
5,3,5,3,4,1,5,5e130b3f54e2f09436f73393,J1jTgT6DVfs
7,4,7,4,2,1,4,5cb87813635b940017c2037a,tyjlxbHsnuY
6,5,4,4,5,1,5,5f15a35ae74deb1deeb0668b,cYszuGaptkk
4,1,1,1,1,5,1,5d5f2fc82fce8e0019ca87c1,YOaA1JMpq-0
5,3,4,2,7,2,7,611d2cc49af322d296ac4117,m_ILlDydHwk
5,6,6,4,4,1,6,5e130b3f54e2f09436f73393,bP5Wlc0Na8w
5,5,4,1,5,1,4,614da66d7f267237bf6d05e6,a1F2Vm6lVNU
5,5,5,3,5,1,3,5e1f7b5450f6aa0122fcef8b,PjA-VYesTtw
4,3,2,2,4,4,4,602bebe42e34a23d1d0f72a3,sS_hpPzuLQ8
5,4,4,2,3,1,1,5f22de3904d2a80008ca108a,oRr55oLW8Y8
4,1,1,5,1,1,1,5fcf61cae339e601668c71aa,awK4jz6RWkU
1,1,3,5,1,1,1,5d5f2fc82fce8e0019ca87c1,wFMPKkDbgIs
5,6,4,1,4,1,1,5f22de3904d2a80008ca108a,i7zsJj3XgBc
2,3,3,1,4,3,2,5ff6e8dc5da4c728c5494d60,sNRNopTkfXk
6,4,4,4,6,2,5,5f15a35ae74deb1deeb0668b,Zl-50U1tsBM
2,1,2,1,7,6,7,611d2cc49af322d296ac4117,2MFyIarn1mk
3,2,3,2,2,1,1,5ef7d6c359b38851de122110,6Pv0_aeYoCE
5,3,4,2,4,1,1,614da66d7f267237bf6d05e6,LHZKQoaZMpY
6,5,5,3,4,1,3,602bebe42e34a23d1d0f72a3,Nvc5N3L3yjA
1,7,1,2,1,1,1,5b017ef1293d310001023bd8,pdzliNhlqWI
7,3,7,7,7,1,7,61f2ae4aa09e72f23cbafa9a,E8GschBoKMA
1,1,1,1,4,3,2,5f0dab228f4b5d000bf1a31d,FhyVUb25Ilc
2,3,2,1,4,3,2,5f0dab228f4b5d000bf1a31d,jg35mmYzh3I
5,3,4,3,4,1,2,5e1f7b5450f6aa0122fcef8b,U8w09p6T8r4
2,2,1,1,1,1,1,5ef7d6c359b38851de122110,AtNnedkKLnM
2,2,2,2,4,6,5,602bebe42e34a23d1d0f72a3,Se_WPWR0ZMU
5,6,4,5,5,1,3,5e130b3f54e2f09436f73393,HO-GyyhtDnA
7,4,4,6,3,1,1,5d9e1929203419001625df07,1onOMfFae74
2,2,2,1,6,6,5,602bebe42e34a23d1d0f72a3,EPIML-8H-xY
7,1,6,4,4,1,1,5c5432c098016d0001541ef7,j_4_Bw7FbR4
2,1,1,1,3,2,2,5f0dab228f4b5d000bf1a31d,__5nKKCvOzk
3,1,4,1,1,1,1,5d5f2fc82fce8e0019ca87c1,zgYKLgKXZjQ
2,2,1,1,3,3,1,5fcf61cae339e601668c71aa,rKe2vkFIUbY
7,6,5,4,4,1,3,614c5d3911d2a431c2c59857,InjI6hTzBNQ
7,4,4,1,5,3,3,5dec460a8d43d9346487f840,bkRGPI3N-7k
4,4,4,2,3,1,3,614da66d7f267237bf6d05e6,ExJpDpg2T_A
7,5,5,3,4,1,2,5c5432c098016d0001541ef7,xfIDBV2R5fw
7,5,5,3,5,1,5,611d2cc49af322d296ac4117,xfIDBV2R5fw
4,3,6,1,3,1,1,5f22de3904d2a80008ca108a,_ob7euNGFxw
6,5,5,3,6,1,3,5ff6e8dc5da4c728c5494d60,2-m3SEGs0kM
6,4,6,5,4,1,4,5d5db7f7ca179000180b17cc,ipvWSzXXN14
3,2,4,5,3,2,2,5f3960e728b3734d421b2eeb,Tubf9a3Asxw
4,1,1,5,1,1,1,5fcf61cae339e601668c71aa,_KXsBwbeaSY
7,6,7,7,7,1,5,61f2ae4aa09e72f23cbafa9a,9rz8E3s3CUY
7,1,3,2,6,1,7,5f4b7922a1cde57399c3872e,c7zjMd_AlKo
7,5,7,3,6,1,5,5f4b7922a1cde57399c3872e,wdOfg3UPqzA
5,2,4,1,6,2,3,5a52164aac5624000153602a,3vqm0DO40gU
5,5,4,4,3,1,2,5ce52692b4a0b500016a9112,HCTfaQg1fzc
2,2,2,2,3,3,2,593b5b0e6c168c000177899a,XRclPERrLVc
7,3,6,4,3,1,4,5ec967ac9020ae477aee23af,-BaTPbE0Gdo
4,1,4,1,6,2,4,603900436aac0934a527e745,XG7tiYSHwTo
5,1,1,1,6,3,3,5a9adf93dbdb470001eee5e1,2dgTRykXw1E
2,1,1,1,6,3,1,5ea986542bd79508d1d3cd7e,sAvsN1Ogq4U
6,6,4,2,6,1,5,5ec967ac9020ae477aee23af,PN1BbPGS_RQ
2,1,2,2,4,1,4,623729c5c785c64be4d2f444,BooeikkiNKw
6,5,6,5,5,1,1,615dc9a9d61ae634ede50ebb,mae-_KQhQ60
7,3,5,5,4,1,3,5f296dc899c65605ad881760,Mjrbh-vceUE
3,4,4,1,7,1,3,603900436aac0934a527e745,9cEyFO2Eqo4
1,1,2,1,6,5,4,5a9adf93dbdb470001eee5e1,5KIK9JG9Ebs
5,3,6,3,3,1,3,601ecf037d641438c0840330,suodJ1Iq-kI
5,1,4,3,2,1,1,5ea986542bd79508d1d3cd7e,r8WRpcfMZ8I
3,4,3,1,2,1,2,5fb93f3349adcb75d64045d1,705VQvekdx8
1,4,1,1,3,2,2,6048a3eff8e2cdda59e5c9e7,zaOUWigiEVM
5,3,1,1,5,2,5,5e14c068ed1b3b000cf0e3c7,Uyp8N1f5Hrg
7,5,5,4,6,1,4,5cb87813635b940017c2037a,QjMA3hc_PVA
7,3,7,7,2,1,1,597e220e30b1d90001f5f14a,NW9w3nKtjO4
6,5,4,1,5,1,3,5ff6e8dc5da4c728c5494d60,kFkIC-XjFp0
6,2,6,5,1,1,1,5fcf61cae339e601668c71aa,bP5Wlc0Na8w
7,6,5,5,7,1,5,611b69c8306de2b76ce73318,0nAk-a4j7dE
5,4,3,3,3,2,2,5c9c7cc072bf7f0017b6b798,ZHYihxwUzbM
2,3,2,2,3,2,2,5ef7d6c359b38851de122110,iAdS053L7L0
4,3,4,3,1,1,1,5c9c7cc072bf7f0017b6b798,KqXriV8Mi3Y
5,4,5,6,3,1,4,611b69c8306de2b76ce73318,tunMW9JZVCc
6,3,2,1,5,2,1,5f0dab228f4b5d000bf1a31d,hrpsvMHAkDI
